@relation 'Domains 05.11.2020 12:35:42'

@attribute DomainLength numeric
@attribute NumberDigits numeric
@attribute NumberVowels numeric
@attribute NumberConsonants numeric
@attribute NumberSpecialCharacters numeric
@attribute NumberUniqueCharacter numeric
@attribute NumberRepetitions numeric
@attribute LengthDigitsSequence numeric
@attribute LengthVowelsSequence numeric
@attribute LengthConsonantSequence numeric
@attribute LengthSpecialCharactersSequence numeric
@attribute RatioDigitToLength numeric
@attribute RatioVowelsToLength numeric
@attribute RatioConsonantsToLength numeric
@attribute RatioSpecialCharactersToLength numeric
@attribute RatioVowelsToConsonants numeric
@attribute RatioUniqueCharacterToLength numeric
@attribute FrequencyRepeat numeric
@attribute FrequencyNgram2 numeric
@attribute FrequencyNgram3 numeric
@attribute FrequencyNgram4 numeric
@attribute FrequencyNgram5 numeric
@attribute class {0,1}

@data
14,0,5,8,0,12,6,0,1,2,0,0,0.357143,0.571429,0,0.625,0.857143,1,-2.110961,-4.634897,-5.488657,-7.833333,0
13,0,4,8,0,10,5,0,1,2,0,0,0.307692,0.615385,0,0.5,0.769231,1.083333,-2.643389,-4.044196,-6.993399,-6.5,0
12,0,5,6,0,10,6,0,1,2,0,0,0.416667,0.5,0,0.833333,0.833333,1.090909,-1.593191,-2.336193,-2.619015,-3,0
12,0,3,8,0,10,4,0,1,3,0,0,0.25,0.666667,0,0.375,0.833333,1.090909,-1.66681,-2.575718,-2.054278,-3.5,0
18,0,9,8,0,12,10,0,3,2,0,0,0.5,0.444444,0,1.125,0.666667,1.117647,-2.058347,-6.898301,-9.92147,-11.082949,0
14,0,5,8,0,10,6,0,2,2,0,0,0.357143,0.571429,0,0.625,0.714286,1.230769,-0.367873,-2.472576,-4.905761,-6,0
12,0,4,7,0,8,5,0,1,2,0,0,0.333333,0.583333,0,0.571429,0.666667,1.181818,-0.9751,-0.31083,-1.71702,-7,0
15,2,5,7,0,12,8,2,2,2,0,0.133333,0.333333,0.466667,0,0.714286,0.8,1.071429,0.171808,-5.536575,-6.412495,-6,0
19,0,6,11,0,13,8,0,1,2,0,0,0.315789,0.578947,0,0.545455,0.684211,1.055556,-5.629066,-6.969333,-9.404553,-10,0
12,0,6,5,0,9,7,0,3,2,0,0,0.5,0.416667,0,1.2,0.75,1.181818,-0.232123,-1.231905,-1.594139,-3.333333,0
24,0,9,13,0,11,11,0,3,3,0,0,0.375,0.541667,0,0.692308,0.458333,1.565217,-3.413969,-10.187075,-16.084334,-16,0
9,2,3,3,0,9,6,2,1,1,0,0.222222,0.333333,0.333333,0,1,1,1,-0.010098,-2.269811,-1.12605,-1,0
10,0,3,6,0,9,4,0,1,3,0,0,0.3,0.6,0,0.5,0.9,1.111111,-0.238736,-1.379043,-1.351801,-2,0
